,Company,Amount
0,RKFORGE.NS,236451
0,VALIANTORG.NS,45344
0,DAAWAT.NS,1002255
0,APARINDS.NS,701120
0,BUTTERFLY.NS,676875
0,BBOX.NS,121
0,INOXWIND.NS,26040
0,PARAS.NS,29925
0,IONEXCHANG.NS,159516
0,TATAMETALI.NS,595975
0,EVEREADY.NS,44850
0,PTC.NS,1081717
0,JISLJALEQS.NS,93520
0,HERANBA.NS,30102
0,GUFICBIO.NS,3520
0,TIIL.NS,69012
0,BLS.NS,276018
0,BAJAJCON.NS,216552
0,ASHOKA.NS,154440
0,SOLARA.NS,0
0,GOKEX.NS,7623
0,HCC.NS,369630
0,OAL.NS,418424
0,DWARKESH.NS,177911
0,GET&D.NS,6148
0,IFCI.NS,152944
0,AMRUTANJAN.NS,9295
0,POKARNA.NS,44520
0,HESTERBIO.NS,34333
0,MOLDTKPAC.NS,266840
0,SURYAROSNI.NS,2783424
0,KIRLOSBROS.NS,751800
0,IMFA.NS,189392
0,SHARDAMOTR.NS,139311
0,GANESHHOUC.NS,33060
0,TVTODAY.NS,2165541
0,WSTCSTPAPR.NS,7700600
0,GRAVITA.NS,363072
0,SAFARI.NS,76875
0,JAYNECOIND.NS,352
0,IGPL.NS,34275
0,DCBBANK.NS,710657
0,MSTCLTD.NS,75647
0,KOLTEPATIL.NS,69960
0,SUBROS.NS,5310
0,SPANDANA.NS,32879
0,GULFOILLUB.NS,11310
0,BEPL.NS,24380
0,STEELXIND.NS,299
0,FINOPB.NS,76800
0,VIDHIING.NS,26676
0,IOLCP.NS,195888
0,VSTTILLERS.NS,207904
0,ANDHRSUGAR.NS,96393
0,VESUVIUS.NS,485097
0,ATFL.NS,0
0,MMFL.NS,47880
0,JPASSOCIAT.NS,137394
0,BOMDYEING.NS,27974
0,SHK.NS,0
0,GMRP&UI.NS,14904
0,NAVNETEDUL.NS,1045880
0,GATI.NS,682668
0,STOVEKRAFT.NS,214790
0,FCL.NS,1005524
0,MUKANDLTD.NS,15246
0,AVTNPL.NS,631788
0,VOLTAMP.NS,0
0,SBCL.NS,371917
0,SIYSIL.NS,212768
0,FAIRCHEMOR.NS,560000
0,JAICORPLTD.NS,583176
0,GTPL.NS,64251
